"","PC1","PC2","PC3"
"point15.16.cranial.height.resids_point2.11.palatine.height.resids",-0.00378639549623121,0.0108003244379197,0.00454017474622264
"point15.16.cranial.height.resids_point2.3.jaw.closing.inlever.resids",0.00559982131739707,-0.0507274403781363,-0.0125265688060778
"point15.16.cranial.height.resids_point15.16.cranial.height.resids",-0.0077052254874621,0.0636226561918798,-0.00522584199889671
"point15.16.cranial.height.resids_point14.15.orbit.diameter.resids",0.00218092787336337,-0.0163951778584656,-0.00252247796922344
"point15.16.cranial.height.resids_point2.18.suspensorium.length.resids",-0.000762300177880377,-0.0147335078190058,-0.0018129019314791
"point15.16.cranial.height.resids_point9.10.ascending.proess.length.resids",-0.00853450322487498,0.0337103767529109,-0.00209510010341818
"point15.16.cranial.height.resids_point2.4.opening.inlever.resids",-0.0178820374407537,-0.0554154669278235,0.0202082164154534
"point15.16.cranial.height.resids_point12.19.nasal.tissue.protrusion.resids",0.0116509916189257,-0.00832526414556719,0.00272409839542033
"point15.16.cranial.height.resids_point11.14.ectopterygoid.resids",-0.00963627270877165,0.0224201011558711,0.00929418334538782
"point15.16.cranial.height.resids_point16.18.head.depth.resids",0.00036126306886771,-0.0172373369951322,0.00334901795056234
"point15.16.cranial.height.resids_point12.13.maxillary.head.protrusion.resids",-0.0240628500733163,0.170175210484854,-0.0328745770053353
"point15.16.cranial.height.resids_point6.11.maxilla.length.resids",-0.00358090478194992,0.0178125573975337,-0.000109038469223905
"point15.16.cranial.height.resids_point11.13.maxillary.head.height.resids",0.0468524824254654,-0.0179300436264473,0.00266720472325517
"point15.16.cranial.height.resids_point17.18.pelvic.girdle.length.resids",0.00692633439849557,-0.0456936536662762,-0.00809942543030304
"point14.15.orbit.diameter.resids_point5.8.dentigerous.arm.width.resids",0.0194579399028846,-0.0125807035913767,0.000966846083105873
"point14.15.orbit.diameter.resids_point7.5.dentigerous.arm.base.resids",-0.0141630959960679,-0.00924301969934312,0.00842361825651098
"point14.15.orbit.diameter.resids_point1.2.lower.jaw.length.resids",0.00973116523164179,-0.00376029789345994,-0.000922919581082393
"point14.15.orbit.diameter.resids_point8.9.dentigerous.arm.depth.resids",0.0150992595715003,0.0078199789156052,0.00106755793962064
"point14.15.orbit.diameter.resids_point2.11.palatine.height.resids",-0.00129855005265243,-0.0116530324292441,0.00233844067999561
"point14.15.orbit.diameter.resids_point2.3.jaw.closing.inlever.resids",0.00738362555753813,0.00337548431976558,0.00571914383423077
"point14.15.orbit.diameter.resids_point15.16.cranial.height.resids",0.00218092787336337,-0.0163951778584656,-0.00252247796922344
"point14.15.orbit.diameter.resids_point14.15.orbit.diameter.resids",0.0156423895893557,-0.00964366426587382,-0.00443805853273828
"point14.15.orbit.diameter.resids_point2.18.suspensorium.length.resids",-0.0131678563173806,-0.00713719172610387,-0.007915964029819
"point14.15.orbit.diameter.resids_point9.10.ascending.proess.length.resids",-0.0069947686306891,-0.00624387920510805,-0.00406812002366174
"point14.15.orbit.diameter.resids_point2.4.opening.inlever.resids",-0.0476566316559534,-0.0079108134453464,-0.00663985780033037
"point14.15.orbit.diameter.resids_point12.19.nasal.tissue.protrusion.resids",0.0353395957736633,0.0088139450358643,-0.0110343865103194
"point14.15.orbit.diameter.resids_point11.14.ectopterygoid.resids",-0.00168143961469571,-0.0153602609280261,0.000951941568427957
"point14.15.orbit.diameter.resids_point16.18.head.depth.resids",0.00771772860264253,-0.00236070215345976,-0.00631823697285876
"point14.15.orbit.diameter.resids_point12.13.maxillary.head.protrusion.resids",-0.0573882607949136,-0.0468367673743327,0.0324004799568384
"point14.15.orbit.diameter.resids_point6.11.maxilla.length.resids",-0.00277426150502551,-0.0136742378522193,-0.00139074836348077
"point14.15.orbit.diameter.resids_point11.13.maxillary.head.height.resids",0.0550283301614238,0.00189546985444454,-0.0210449111858677
"point14.15.orbit.diameter.resids_point17.18.pelvic.girdle.length.resids",0.0180207128104688,0.000723324319965573,0.0141811638187492
"point2.18.suspensorium.length.resids_point5.8.dentigerous.arm.width.resids",-0.0123953920656064,-0.0143833341610117,0.0115645132893199
"point2.18.suspensorium.length.resids_point7.5.dentigerous.arm.base.resids",0.00792569465080165,-0.0114752577581452,-0.000690065907559151
"point2.18.suspensorium.length.resids_point1.2.lower.jaw.length.resids",-0.00726228520689663,-0.00651005440214905,-0.000862384874272241
"point2.18.suspensorium.length.resids_point8.9.dentigerous.arm.depth.resids",-0.0100265518565706,-0.000593081528363858,0.00947662432038347
"point2.18.suspensorium.length.resids_point2.11.palatine.height.resids",0.00246745454962272,-0.0203124026208366,0.00129307565839063
"point2.18.suspensorium.length.resids_point2.3.jaw.closing.inlever.resids",-0.00320282132385706,-0.0137826367100728,0.0019086932045772
"point2.18.suspensorium.length.resids_point15.16.cranial.height.resids",-0.000762300177880377,-0.0147335078190058,-0.0018129019314791
"point2.18.suspensorium.length.resids_point14.15.orbit.diameter.resids",-0.0131678563173806,-0.00713719172610387,-0.007915964029819
"point2.18.suspensorium.length.resids_point2.18.suspensorium.length.resids",0.0117244551192897,-0.013072305480385,-0.00812379695643051
"point2.18.suspensorium.length.resids_point9.10.ascending.proess.length.resids",0.0153776142243638,-0.0109234326265548,-0.00206376013720758
"point2.18.suspensorium.length.resids_point2.4.opening.inlever.resids",0.0304523622745815,0.0209201969362063,0.0378795368638926
"point2.18.suspensorium.length.resids_point12.19.nasal.tissue.protrusion.resids",-0.0437536609199836,0.0322613910596217,0.0306886187260414
"point2.18.suspensorium.length.resids_point11.14.ectopterygoid.resids",-0.00834853448387453,-0.0247415120042394,-0.0151989793871942
"point2.18.suspensorium.length.resids_point16.18.head.depth.resids",-0.00444630019501743,-0.00731216858067896,-0.00350744720206998
"point2.18.suspensorium.length.resids_point12.13.maxillary.head.protrusion.resids",0.0388076608519813,-0.013203259064445,0.0117259265014376
"point2.18.suspensorium.length.resids_point6.11.maxilla.length.resids",0.00327438919320963,-0.0196378949018733,0.00202620425623825
"point2.18.suspensorium.length.resids_point11.13.maxillary.head.height.resids",-0.0485211137935275,-0.0260949925446048,0.0304965596078849
"point2.18.suspensorium.length.resids_point17.18.pelvic.girdle.length.resids",-0.0117920458795181,0.00487024688993687,0.00834323954744824
"point9.10.ascending.proess.length.resids_point5.8.dentigerous.arm.width.resids",-0.0100550196243318,0.00387266994896101,0.00442687205024637
"point9.10.ascending.proess.length.resids_point7.5.dentigerous.arm.base.resids",0.000323035035246151,-0.0028784798676918,-0.000549217047635569
"point9.10.ascending.proess.length.resids_point1.2.lower.jaw.length.resids",-0.00192670096344504,-0.0168873779636845,-0.000356187589246065
"point9.10.ascending.proess.length.resids_point8.9.dentigerous.arm.depth.resids",0.00325571565990579,-0.0300008611512451,-0.00300105978133562
"point9.10.ascending.proess.length.resids_point2.11.palatine.height.resids",-0.00423638803695216,0.0241253405723525,0.00492729242572386
"point9.10.ascending.proess.length.resids_point2.3.jaw.closing.inlever.resids",-0.00106970529909296,0.00185375418344881,-2.25354186207906e-05
"point9.10.ascending.proess.length.resids_point15.16.cranial.height.resids",-0.00853450322487498,0.0337103767529109,-0.00209510010341818
"point9.10.ascending.proess.length.resids_point14.15.orbit.diameter.resids",-0.0069947686306891,-0.00624387920510805,-0.00406812002366174
"point9.10.ascending.proess.length.resids_point2.18.suspensorium.length.resids",0.0153776142243638,-0.0109234326265548,-0.00206376013720758
"point9.10.ascending.proess.length.resids_point9.10.ascending.proess.length.resids",-0.00209849560530257,-0.0937639800764225,-0.0216968012726905
"point9.10.ascending.proess.length.resids_point2.4.opening.inlever.resids",0.0273878250481973,-0.0465546533608422,0.00967857936585602
"point9.10.ascending.proess.length.resids_point12.19.nasal.tissue.protrusion.resids",-0.0262360889078543,-0.130533953210622,0.0263611472866501
"point9.10.ascending.proess.length.resids_point11.14.ectopterygoid.resids",-0.0203485535002435,0.0392806144420315,0.0137853028943777
"point9.10.ascending.proess.length.resids_point16.18.head.depth.resids",-0.000594275536680363,-0.00993906179779087,0.00216016317252956
"point9.10.ascending.proess.length.resids_point12.13.maxillary.head.protrusion.resids",0.0125998194055456,0.0670319412875421,-0.0257818553372152
"point9.10.ascending.proess.length.resids_point6.11.maxilla.length.resids",-0.00252951589435807,0.0226201536452381,0.0040712501212282
"point9.10.ascending.proess.length.resids_point11.13.maxillary.head.height.resids",-0.032356592061079,-0.012607374852558,0.0111965104219844
"point9.10.ascending.proess.length.resids_point17.18.pelvic.girdle.length.resids",-0.00113195259956561,-0.0121668838568124,-0.00327191027085083
"point2.4.opening.inlever.resids_point5.8.dentigerous.arm.width.resids",-0.0660166390885891,-0.0430420267393618,-0.0395612527724329
"point2.4.opening.inlever.resids_point7.5.dentigerous.arm.base.resids",0.0417002939809854,-0.0389282776942532,-0.022683095263965
"point2.4.opening.inlever.resids_point1.2.lower.jaw.length.resids",-0.0371057580654818,-0.0179827754965471,0.00746972531073338
"point2.4.opening.inlever.resids_point8.9.dentigerous.arm.depth.resids",-0.0563667782435953,0.00866082645731426,0.0363802659551235
"point2.4.opening.inlever.resids_point2.11.palatine.height.resids",0.0103305300400326,-0.0766593382763005,-0.00489203790880891
"point2.4.opening.inlever.resids_point2.3.jaw.closing.inlever.resids",-0.0218153224950657,-0.0617294986286948,0.000215597596768817
"point2.4.opening.inlever.resids_point15.16.cranial.height.resids",-0.0178820374407537,-0.0554154669278235,0.0202082164154534
"point2.4.opening.inlever.resids_point14.15.orbit.diameter.resids",-0.0476566316559534,-0.0079108134453464,-0.00663985780033037
"point2.4.opening.inlever.resids_point2.18.suspensorium.length.resids",0.0304523622745815,0.0209201969362063,0.0378795368638926
"point2.4.opening.inlever.resids_point9.10.ascending.proess.length.resids",0.0273878250481973,-0.0465546533608422,0.00967857936585602
"point2.4.opening.inlever.resids_point2.4.opening.inlever.resids",0.166692285590886,0.0622753803156975,-0.0825148345251554
"point2.4.opening.inlever.resids_point12.19.nasal.tissue.protrusion.resids",-0.142882889407834,0.186419632168111,0.0097784826842329
"point2.4.opening.inlever.resids_point11.14.ectopterygoid.resids",0.0353469857149576,-0.0978495507329973,-0.0445938303105942
"point2.4.opening.inlever.resids_point16.18.head.depth.resids",-0.0289597196229791,-0.0101012302802117,-0.00063339888921986
"point2.4.opening.inlever.resids_point12.13.maxillary.head.protrusion.resids",0.165165197175995,-0.0174045296538814,-0.0472347571044089
"point2.4.opening.inlever.resids_point6.11.maxilla.length.resids",0.00907004267898562,-0.0682430361392656,-0.0121983701764464
"point2.4.opening.inlever.resids_point11.13.maxillary.head.height.resids",-0.299676318850141,-0.129057332727845,-0.15864400886655
"point2.4.opening.inlever.resids_point17.18.pelvic.girdle.length.resids",-0.0667143982327599,0.00598462789513977,0.0179475813609463
"point12.19.nasal.tissue.protrusion.resids_point5.8.dentigerous.arm.width.resids",0.0436887581322595,-0.0159902309296675,-0.00341136830218248
"point12.19.nasal.tissue.protrusion.resids_point7.5.dentigerous.arm.base.resids",-0.0170901776796307,-0.105221134881623,-0.00656568438279927
"point12.19.nasal.tissue.protrusion.resids_point1.2.lower.jaw.length.resids",0.0273823362083655,-0.050089174570248,-0.00715897164591578
"point12.19.nasal.tissue.protrusion.resids_point8.9.dentigerous.arm.depth.resids",0.037222679204661,-0.0423625764117741,0.0153067242899456
"point12.19.nasal.tissue.protrusion.resids_point2.11.palatine.height.resids",0.0158063831576138,-0.172625626778907,0.00115734699339102
"point12.19.nasal.tissue.protrusion.resids_point2.3.jaw.closing.inlever.resids",0.035050681584981,-0.157545682229221,-0.0379240060493828
"point12.19.nasal.tissue.protrusion.resids_point15.16.cranial.height.resids",0.0116509916189257,-0.00832526414556719,0.00272409839542033
"point12.19.nasal.tissue.protrusion.resids_point14.15.orbit.diameter.resids",0.0353395957736633,0.0088139450358643,-0.0110343865103194
"point12.19.nasal.tissue.protrusion.resids_point2.18.suspensorium.length.resids",-0.0437536609199836,0.0322613910596217,0.0306886187260414
"point12.19.nasal.tissue.protrusion.resids_point9.10.ascending.proess.length.resids",-0.0262360889078543,-0.130533953210622,0.0263611472866501
"point12.19.nasal.tissue.protrusion.resids_point2.4.opening.inlever.resids",-0.142882889407834,0.186419632168111,0.0097784826842329
"point12.19.nasal.tissue.protrusion.resids_point12.19.nasal.tissue.protrusion.resids",0.00254914075223171,0.211752389047121,0.174391798707497
"point12.19.nasal.tissue.protrusion.resids_point11.14.ectopterygoid.resids",0.0332557731871112,-0.178370922532158,-0.0275485459737514
"point12.19.nasal.tissue.protrusion.resids_point16.18.head.depth.resids",0.0112259702598332,0.00667579102717444,-0.0111841368047413
"point12.19.nasal.tissue.protrusion.resids_point12.13.maxillary.head.protrusion.resids",-0.128129148095346,0.0618658114679611,0.0501633207515582
"point12.19.nasal.tissue.protrusion.resids_point6.11.maxilla.length.resids",0.00837261352491592,-0.129779167739258,0.006806709527095
"point12.19.nasal.tissue.protrusion.resids_point11.13.maxillary.head.height.resids",0.16803710011585,-0.0407817468714258,0.00388820318957137
"point12.19.nasal.tissue.protrusion.resids_point17.18.pelvic.girdle.length.resids",0.0319868363395608,0.0190251362696849,0.0175046498848121
"point11.14.ectopterygoid.resids_point5.8.dentigerous.arm.width.resids",-0.0142108566615786,-0.00255455459293755,0.007371500305774
"point11.14.ectopterygoid.resids_point7.5.dentigerous.arm.base.resids",0.001185553910373,0.0146870101167439,0.00883629153781818
